from,to,type,weight
g33,g259,GENE-GENE,0.186976203
g135,g259,GENE-GENE,0.181510365
g197,g191,GENE-GENE,0.195235865
g209,g191,GENE-GENE,0.195235865
g192,g191,GENE-GENE,0.195235865
g195,g191,GENE-GENE,0.195235865
g183,g191,GENE-GENE,0.195235865
g184,g191,GENE-GENE,0.195235865
g194,g191,GENE-GENE,0.195235865
g199,g191,GENE-GENE,0.195235865
g187,g191,GENE-GENE,0.195235865
g206,g191,GENE-GENE,0.195235865
g198,g191,GENE-GENE,0.195235865
g196,g191,GENE-GENE,0.195235865
g203,g191,GENE-GENE,0.195235865
g182,g191,GENE-GENE,0.195235865
g205,g191,GENE-GENE,0.195235865
g207,g191,GENE-GENE,0.195235865
g185,g191,GENE-GENE,0.195235865
g211,g191,GENE-GENE,0.195235865
g204,g191,GENE-GENE,0.195235865
g188,g191,GENE-GENE,0.195235865
g200,g191,GENE-GENE,0.195235865
g189,g191,GENE-GENE,0.219952048
g193,g191,GENE-GENE,0.187968879
g210,g191,GENE-GENE,0.195235865
g213,g191,GENE-GENE,0.195235865
g212,g191,GENE-GENE,0.195235865
g208,g191,GENE-GENE,0.18215248
g201,g191,GENE-GENE,0.195235865
g181,g191,GENE-GENE,0.195235865
g202,g191,GENE-GENE,0.195235865
g190,g191,GENE-GENE,0.195235865
g286,g172,GENE-GENE,0.179480765
g45,g172,GENE-GENE,0.188393944
g209,g210,GENE-GENE,0.198962589
g203,g210,GENE-GENE,0.198962589
g201,g210,GENE-GENE,0.198962589
g181,g210,GENE-GENE,0.198962589
g182,g210,GENE-GENE,0.198962589
g197,g210,GENE-GENE,0.198962589
g205,g210,GENE-GENE,0.198962589
g188,g210,GENE-GENE,0.198962589
g211,g210,GENE-GENE,0.198962589
g208,g210,GENE-GENE,0.198962589
g186,g210,GENE-GENE,0.198962589
g183,g210,GENE-GENE,0.198962589
g212,g210,GENE-GENE,0.198962589
g184,g210,GENE-GENE,0.198962589
g200,g210,GENE-GENE,0.198962589
g198,g210,GENE-GENE,0.198962589
g190,g210,GENE-GENE,0.198962589
g199,g210,GENE-GENE,0.198962589
g196,g210,GENE-GENE,0.198962589
g195,g210,GENE-GENE,0.198962589
g187,g210,GENE-GENE,0.198962589
g206,g210,GENE-GENE,0.198962589
g194,g210,GENE-GENE,0.198962589
g189,g210,GENE-GENE,0.219952048
g192,g210,GENE-GENE,0.198962589
g193,g210,GENE-GENE,0.195235865
g207,g210,GENE-GENE,0.198962589
g202,g210,GENE-GENE,0.198962589
g213,g210,GENE-GENE,0.198962589
g204,g210,GENE-GENE,0.198962589
g84,g115,GENE-GENE,0.184449799
g297,g115,GENE-GENE,0.184449799
g83,g115,GENE-GENE,0.184449799
g299,g115,GENE-GENE,0.184449799
g271,g72,GENE-GENE,0.179480765
g272,g72,GENE-GENE,0.179480765
g334,g72,GENE-GENE,0.179480765
g115,g298,GENE-GENE,0.184449799
g250,g249,GENE-GENE,0.188393944
g154,g50,GENE-GENE,0.177737449
g339,g337,GENE-GENE,0.188393944
g199,g185,GENE-GENE,0.198962589
g196,g185,GENE-GENE,0.198962589
g205,g185,GENE-GENE,0.198962589
g193,g185,GENE-GENE,0.195235865
g192,g185,GENE-GENE,0.198962589
g195,g185,GENE-GENE,0.198962589
g203,g185,GENE-GENE,0.198962589
g206,g185,GENE-GENE,0.198962589
g200,g185,GENE-GENE,0.198962589
g198,g185,GENE-GENE,0.198962589
g213,g185,GENE-GENE,0.198962589
g187,g185,GENE-GENE,0.198962589
g210,g185,GENE-GENE,0.198962589
g190,g185,GENE-GENE,0.198962589
g202,g185,GENE-GENE,0.198962589
g211,g185,GENE-GENE,0.198962589
g184,g185,GENE-GENE,0.198962589
g197,g185,GENE-GENE,0.198962589
g186,g185,GENE-GENE,0.198962589
g208,g185,GENE-GENE,0.198962589
g207,g185,GENE-GENE,0.198962589
g181,g185,GENE-GENE,0.198962589
g209,g185,GENE-GENE,0.198962589
g183,g185,GENE-GENE,0.198962589
g201,g185,GENE-GENE,0.198962589
g212,g185,GENE-GENE,0.198962589
g189,g185,GENE-GENE,0.219952048
g194,g185,GENE-GENE,0.198962589
g182,g185,GENE-GENE,0.198962589
g188,g185,GENE-GENE,0.198962589
g204,g185,GENE-GENE,0.198962589
g115,g85,GENE-GENE,0.184449799
g303,g275,GENE-GENE,0.177707239
g18,g19,GENE-GENE,0.181169263
g20,g19,GENE-GENE,0.198188304
g31,g102,GENE-GENE,0.184449799
g343,g102,GENE-GENE,0.184449799
g80,g82,GENE-GENE,0.195136504
g270,g82,GENE-GENE,0.195136504
g120,g119,GENE-GENE,0.184449799
g174,g101,GENE-GENE,0.179480765
g104,g101,GENE-GENE,0.179480765
g205,g214,GENE-GENE,0.198962589
g182,g214,GENE-GENE,0.198962589
g207,g214,GENE-GENE,0.198962589
g188,g214,GENE-GENE,0.198962589
g211,g214,GENE-GENE,0.198962589
g189,g214,GENE-GENE,0.219952048
g191,g214,GENE-GENE,0.195235865
g190,g214,GENE-GENE,0.198962589
g194,g214,GENE-GENE,0.198962589
g213,g214,GENE-GENE,0.198962589
g192,g214,GENE-GENE,0.198962589
g199,g214,GENE-GENE,0.198962589
g195,g214,GENE-GENE,0.198962589
g184,g214,GENE-GENE,0.198962589
g210,g214,GENE-GENE,0.198962589
g198,g214,GENE-GENE,0.198962589
g206,g214,GENE-GENE,0.198962589
g181,g214,GENE-GENE,0.198962589
g201,g214,GENE-GENE,0.198962589
g212,g214,GENE-GENE,0.198962589
g186,g214,GENE-GENE,0.198962589
g193,g214,GENE-GENE,0.195235865
g208,g214,GENE-GENE,0.198962589
g196,g214,GENE-GENE,0.198962589
g200,g214,GENE-GENE,0.198962589
g204,g214,GENE-GENE,0.198962589
g202,g214,GENE-GENE,0.198962589
g203,g214,GENE-GENE,0.198962589
g197,g214,GENE-GENE,0.198962589
g187,g214,GENE-GENE,0.198962589
g209,g214,GENE-GENE,0.198962589
g183,g214,GENE-GENE,0.198962589
g185,g214,GENE-GENE,0.198962589
